,names,logFC_C
85607,Scrib,0.16773438
85037,Ccdc88b,0.1679843
85415,Pa2g4,0.16807185
85488,Rnmt,0.16829436
85507,Dgcr2,0.1683385
85276,Zdhhc7,0.16866826
85262,Tmem33,0.16908711
85376,Vps33a,0.1691662
85066,Supt16,0.16928336
85323,Larp7,0.16972312
85272,Emc10,0.16982353
85133,Mtor,0.17320196
86053,Cdc45,0.17327902
85796,Tubgcp6,0.17330262
85000,Mark2,0.1735098
85510,Rmi1,0.17374544
85969,Zdhhc16,0.17378718
85977,Utp18,0.1740547
85436,Rexo4,0.1743515
85270,Ubr1,0.17443137
85013,Atf1,0.17479858
85737,Nprl3,0.17492865
85045,Zc3h15,0.17648631
85636,Mcu,0.17765297
85303,Strn4,0.17915234
86066,Sars2,0.17966259
85236,Get3,0.17976014
84552,Hnrnpf,0.18093358
84738,Wdr83os,0.18276472
85080,Gatad1,0.18343689
85889,Vps33b,0.18478434
85978,Slc30a9,0.18500085
85866,Rbm48,0.18518946
85683,Toe1,0.18552601
85955,Alkbh3,0.18582071
85966,Psat1,0.18589932
85038,Snrpa,0.18674159
85344,Slc30a5,0.18716858
86011,Cactin,0.18731385
85140,Tsr3,0.18805613
85042,Pcna,0.1888285
85116,Polr2g,0.18890998
85476,Exosc4,0.18918699
85709,Tti2,0.18968919
85337,Mob1b,0.19183196
85261,Zfp639,0.1931581
84993,Cnot9,0.19331525
85587,Abhd10,0.19430177
85400,Lsg1,0.19468537
85752,Tdg,0.19843964
85601,Tmem131l,0.1997865
85795,Rars2,0.19992353
84586,Eps15,0.20016667
85613,Ctdp1,0.20055641
85916,Arhgap12,0.20067619
85995,Wdr45b,0.20082337
86000,Zfx,0.20099168
85162,Sertad1,0.20140775
85336,Zbtb6,0.20155357
84916,Eif2s2,0.20265974
84863,Casp8,0.20380716
85701,Maip1,0.20385014
85540,Slc25a24,0.20569892
85055,Capza2,0.2058117
85393,Pbdc1,0.20694514
85471,Pcca,0.20900501
85299,Cenpw,0.20938902
85190,Med17,0.21006717
86064,Dph6,0.21056208
85017,Polr1c,0.21108924
85870,C1galt1c1,0.21307354
85643,H2-Q6,0.21310712
85431,Ccdc43,0.2134015
85939,Piga,0.21395494
85223,Pknox1,0.21408911
85092,Tinf2,0.21594
84342,Ago2,0.21659558
86076,Shld3,0.21686931
85823,Dhx30,0.21750297
85508,Prep,0.21755162
84795,Hnrnpa0,0.21937568
85158,Utp14a,0.22152337
85629,Mfn2,0.22214472
85428,Kbtbd4,0.22232097
85520,Hdhd2,0.22388765
85598,Helq,0.2244359
84986,Commd2,0.22444813
84537,Ranbp2,0.22532637
84856,Tm9sf1,0.2259475
85680,Actr5,0.22597842
85445,Nudt6,0.2261296
85368,Prpf3,0.22625075
86050,E2f3,0.22708318
85625,Sgf29,0.22754067
86023,Znhit3,0.22920471
84763,Unc50,0.22947034
85775,Tfb2m,0.23004165
84679,Kdm6a,0.2308976
84973,Pih1d1,0.23122914
84532,Rnps1,0.23161352
84948,Hnrnpdl,0.23221824
85406,Stk19,0.23440222
85918,Dph7,0.23445426
85385,Mphosph6,0.23672582
85838,Rdh14,0.23731168
84703,Kpna3,0.23751287
85360,Zbtb14,0.23784675
85230,Pgam5,0.23868382
86012,Zbtb4,0.23968776
84656,Uchl5,0.24046107
85253,Kat14,0.2421349
85467,Spdl1,0.24293116
86070,Polm,0.2448186
85277,Trmt10c,0.24649496
85446,Tm9sf4,0.246919
85664,Whamm,0.24697402
85286,Gtf3c5,0.24753581
85963,Slc41a1,0.24772699
85781,Alas1,0.25022578
85234,Tubgcp4,0.25220177
85289,Map1s,0.2525619
85981,Tdp1,0.25441998
84933,Uhrf1bp1l,0.25497267
85965,Zbed4,0.2564123
85627,Inip,0.25656626
85694,Bmi1,0.25707582
85945,Ptges2,0.2577926
85318,Bdp1,0.25792345
85014,Exosc7,0.25863916
83773,Foxo1,0.25887156
85932,Ints2,0.25890145
85960,Slc30a1,0.26016942
85695,Plekhm2,0.26228014
84687,Tor1a,0.26259375
86041,Dhodh,0.2631513
85992,Fdx2,0.26335755
85478,Slc9a8,0.2639166
84491,Usp1,0.26596782
85265,Ftsj1,0.26733434
84925,Brms1l,0.26883224
85371,Hsd17b12,0.26926714
84746,Tmed10,0.2693366
85330,Ndufa9,0.26984835
85463,Adprs,0.2704149
85649,Vcpkmt,0.27134672
85364,Bola1,0.27237982
85957,Lig3,0.27242154
84505,Gatad2a,0.27297214
85259,Tmem248,0.2784228
85224,Pigq,0.27930352
84844,H2aj,0.28068963
85923,Znrd2,0.2807519
84527,Acsl4,0.28105634
85954,Enkd1,0.2824604
85441,Dhx37,0.28282952
85312,Abhd16a,0.2833623
84508,Gak,0.2835334
85536,Ebp,0.28360918
85193,Fam122a,0.28500256
84273,Keap1,0.28748423
85511,Smg8,0.29093227
85875,Pdhx,0.2946488
85771,Surf2,0.29633328
85632,Mettl16,0.29735854
85164,Lipe,0.30275983
84717,Slc39a7,0.30414048
85509,Nop9,0.305724
85651,Ndufb2,0.30617046
85427,Gtf2e1,0.30660534
84778,Fignl1,0.30772516
85421,Usp10,0.30799958
85474,Gins1,0.30895936
85412,Dnajc16,0.31072384
85552,Aatf,0.3124012
85346,Tm2d1,0.3138172
86013,Lrrc58,0.31414533
85161,Thyn1,0.31503627
85365,Got1,0.31725416
85748,Gars,0.31756666
85828,Slc12a4,0.31918636
85868,Cox18,0.32113075
85126,Zfp574,0.32152027
85646,Ints4,0.32197604
85986,Polr3a,0.32208475
85908,Btbd10,0.3253886
