genes,cluster,IFNA_IL2,IFNA_IL21,IFNA_IL27,IFNA_IL6,IFNA_TNF,IL12_IFNA,IL12_IL2,IL12_IL21,IL12_IL27,IL12_IL6,IL12_TNF,IL21_IL27,IL2_IL21,IL2_IL27,IL2_TNF,IL4_IFNA,IL4_IL12,IL4_IL2,IL4_IL21,IL4_IL27,IL4_IL6,IL4_TNF,IL6_IL2,IL6_IL21,IL6_IL27,IL6_TNF,TNF_IL21,TNF_IL27
Acbd7,1,0.0816145177430476,0.0971868337662713,0.0498609774442295,-0.2087978516456297,-0.1058231236034112,0.3551478668040573,-0.3994129327545913,0.062597407840901,0.0745946611865853,0.1696561185482294,0.0098708307429106,-0.0613880057057001,-0.1647494766502682,-0.1645414787791004,-0.2913171962418119,0.0219006974970957,0.0308396869782525,-0.1372271955631881,-0.1738429860409054,-0.3360854031707674,-0.2879043685644499,-0.1381876762488679,-0.2608113432434526,-0.317650218877691,-0.1734681318073628,-0.4352578071434017,-0.1381259326974908,-0.1167838863548294
Acer2,-1,-0.1984271604610127,-0.1197523878873679,-0.1863078422650987,-0.4118600346316508,-0.1184638369406425,-0.0565111149828448,-0.2062526048297163,-0.1317210384085318,-0.0891764979803417,0.1147357302175446,-0.0056287372235916,-0.1415930846649187,-0.2007389092164417,-0.1428583786699873,-0.0947490852482825,-0.1420077762758914,0.171663519184975,-0.2786346064192436,-0.3321886441085295,-0.1598962945072308,-0.2716414433387109,0.0268533100435833,-0.2350774005774047,-0.1309987216401334,-0.1101274405714953,-0.0434299779621807,0.1852352299270637,-0.039994067077605
Acp5,-1,-0.0072046392398537,-0.0079058461333528,0.0423404392317739,0.0396828470123502,0.0693090117855968,-0.1105744228433073,-0.1386235698059569,-0.1220730628529384,-0.0358181756199567,-0.0203708575059357,0.0547831506125826,-0.0989054289896997,-0.0886487176341231,-0.0358227231710303,0.0562746442366703,-0.081730200647946,-0.0940077680560264,0.0435968485494877,-0.0706242887403332,-0.1004036118649808,0.005807386749266,0.2018948932061688,0.0260245447399686,-0.1235240120529104,-0.0035623276262109,0.0221943520864572,-0.0563306565437673,-0.0111413608103392
Acpp,-1,-0.1983045366615301,-0.1242909971303739,0.1819647071270291,-0.1863321358606495,-0.03288248324706,-0.4812773560462041,-0.1751485724891132,-0.3709014001917342,-0.191164718759194,-0.0186979730196846,-0.2907738230893058,-0.0108324606267486,0.0333873591469711,0.1402862202987076,0.1471609322648156,-0.1702583183539885,-0.2845844569437454,0.2829020614016894,0.0034090261612335,0.0492721398921372,-0.1157318760727108,0.1760663314201506,0.1245587194794332,-0.1599475912332258,0.2089684825146723,0.00627783762414,-0.0083438680435329,0.1127494774327599
Acrbp,-1,0.2576230681512149,0.2720233675956567,0.133455766746031,0.1680796190069479,0.1357791864027226,-0.1232328390061339,-0.1298360160473581,0.0716501773122582,0.0412759765462827,0.0393668044133411,-0.1215634667555667,0.1684974570174258,0.2540202510137794,0.1837484875490732,0.3022054887748476,0.2754774105659223,-0.0364150621074808,0.3365068799202002,0.2893219721590579,0.2795544261149641,0.3281568629607128,0.1778866894009985,0.3283678743204612,0.3145326679376542,0.3914701062952371,0.0769274840310015,0.0621427266451966,0.2465061556159547
Acsbg1,-1,-0.0811436797464695,-0.1393896970829304,-0.0936314313874573,-0.0257348239495526,-0.0622203988746101,0.1317458526662914,-0.1247801846091288,-0.0436146985092134,-0.0788041941360605,-0.1338781825078828,0.0335522905631223,-0.0938181965529903,-0.0629186104745599,-0.0768422428655684,-0.365350896290645,0.0605062724290555,-0.151032164983778,-0.0054179898487221,-0.2550208432890682,-0.0670452574592468,0.0251672289371213,-0.1751507246253592,-0.1146559391238156,-0.0973247274657846,0.0086259778618709,-0.0645258795610855,-0.1017167751075998,-0.043586346744043
Acsl3,-1,-0.1489829184894327,-0.0796513053294712,-0.2406885051177862,0.0777937712265725,0.1372745487089549,-0.1127017828001501,-0.1143812707507922,-0.0388348763437052,-0.1340901044462643,-0.0512820091135405,0.0426847977946741,-0.0975361286067561,0.0023628015061404,-0.2564365357550663,0.4196515456337358,-0.0367368069135724,0.0534257833434584,-0.0949934675810269,0.0416434076240823,-0.1352280739515704,0.0992558150995252,0.3361541115213502,0.0381487643466722,-0.0055070628737586,-0.1376071706237199,0.1418544011679514,0.1563751491716511,0.0134343090993089
Acsl5,-1,-0.0631035408283211,-0.0567957026015948,-0.1970348164065603,-0.0601947602894536,0.0310036522324374,0.0234950291909716,0.0023757437476134,0.039835543857844,0.0721012317193336,-0.0465173509568286,-0.0127150264240362,-0.0884578216352417,-0.0471013781043994,-0.0173183938675245,-0.0129798915388018,0.0315783120418601,0.0487007591044703,-0.2065760936592838,-0.0353193898668449,-0.0400388018133993,-0.1035862002277196,0.2679928673301674,-0.1503451601785085,-0.0854702776466051,-0.2155412646760202,0.150916603737317,0.1134941726701282,0.0343238069664449
Acss1,-1,0.0860387998711278,0.021120034451599,0.045437846755688,-0.077844410999452,0.0566512956231505,-0.0534345648549102,-0.2187853193796995,-0.1306644729526364,-0.0519413752251337,0.1290170652516108,0.0285446527037369,0.1110457344320193,-0.1053762441624659,0.1262795491049105,0.0712979974475409,-0.114185316533674,-0.015926694267088,0.2478529380206557,-0.0062687355440451,0.0820411125085935,0.0434271463683008,0.2041001537951854,0.0663694129210612,0.0817369453356353,0.1279620054978579,-0.1291091588844253,-0.2451437746427646,0.1318910659182899
Acss2,-1,-0.0083343590038944,-0.0464842026473005,-0.0672215261284126,-0.0040154658679318,0.0655288130848163,0.0571831350200382,0.073029890467845,-0.0697922619180664,-0.109918777012205,0.0440754252426455,0.0125528467486617,-0.2405905300214793,-0.0089108249972925,-0.0564768498849773,-0.0064061388407846,0.0256868429528558,-0.0319078741742311,0.1502107077259579,-0.1696540623873348,-0.0553320764276267,0.0984316084430269,0.2806225588892371,0.0994616283791236,-0.1070269419608704,-0.0253349053890612,-0.033124660165111,-0.0691414446549597,-0.0488551101045607
