interaction,name,adj_pval,lfc,expected_lfc_single,expected_lfc_abs_single,diff_magnitude_1,diff_magnitude_2
IL4_IL6,Cd40lg,4.542781790049075e-4,0.3338669650816641,-1.8811630598009574,1.8811630598009574,1.1774790140292197,1.1774790140292197
IL4_TNF,Jak2,1.0910105665101288e-14,-0.3317242382036415,1.8691617837813237,1.8691617837813237,1.1774721915898376,1.1774721915898376
TNF_IL21,Dusp2,0.05610692144836188,0.18079629995812233,0.6725007183974618,1.0187500499772235,1.268841794532133,1.1774687519889344
IFNA_IL27,Mxd4,2.493878320886056e-6,0.26145190641218263,-1.4732736372344073,1.4732736372344073,1.1774632354807988,1.1774632354807988
IL6_IL2,Ube2h,1.130564437603097e-6,0.2072107172042105,-1.1678152453561985,1.1678152453561985,1.1774345026134752,1.1774345026134752
IL6_TNF,Etnk1,0.0568336207135715,0.09756386234171596,-0.5499638747034541,0.5499638747034541,1.1774004927038586,1.1774004927038586
IL6_TNF,Zer1,0.01809412151565885,-0.16921639667213173,-0.9540674693958313,0.9540674693958313,1.177363134264801,1.177363134264801
IL6_IL27,Ramp1,2.243796097465469e-4,0.40358200621868223,-2.2762927011268714,2.2762927011268714,1.177297939767979,1.177297939767979
IL4_IL2,Setd7,0.07451758329136661,0.12329638373660468,-0.6954411513730525,0.6954411513730525,1.1772923323464148,1.1772923323464148
IL4_IL27,Pnpla7,0.03278022113602082,0.3139347050313556,-1.7710427679862306,1.7710427679862306,1.1772598102689051,1.1772598102689051
TNF_IL21,Ctss,0.01856359911360629,0.11258592897636828,0.1666715178712636,0.6352106371772661,1.6754959120449673,1.1772418822780975
IL4_TNF,Cd74,0.01919145589942949,-0.23542807998543744,0.5141484521759836,1.328373681346296,1.4578990347808238,1.177230310485249
IL6_TNF,Ypel3,3.625254836803256e-5,-0.1763111171831208,-0.9950580401789254,0.9950580401789254,1.177186767066791,1.177186767066791
IL4_IL6,Inpp4b,0.0010089944270441,-0.10916593833198264,0.46725455446738823,0.6161559914986896,1.2336326896939895,1.1771725664250314
IL4_TNF,Zfp217,0.00798592491251886,-0.1438590090819993,0.297269154424183,0.8120459329789564,1.4839352046486538,1.1771562460195553
